name,address1,address2,city,state,zipcode,country,contact_info,email,reg_no,descriptions
Carsem (food Stop),,,-,-,-,Malaysia,,,-,
General Receivable Account,,,-,-,-,Malaysia,,,-,
Pang Yean Sing,,,-,-,-,Malaysia,,,-,
Aman Sentosa Sdn. Bhd.,"1146, Permatang Janggus "," Penaga",Butterworth,Pulau Pinang,13100,Malaysia,"Tel.  Fax. ",,21478-h,"GST No.  "
CM Best Holdings (M) Sdn Bhd,"No.5,7,9 Jalan Mas 2, Taman Mas Falim,"," ",Ipoh,Perak,30100,Malaysia,"Tel. 05-28280266,012-5623266 Fax. ",,202001016269(1372589-P),"GST No.  "
Chai Hon Pew,,,Malim Nawar,Perak,31700,Malaysia,,,,
Chan Loong Ren,,,Malim Nawar,Perak,31700,Malaysia,,,,
Chai Mong,,,Malim Nawar,Perak,31700,Malaysia,,,,
Chai Mei Wan,,,,Perak,,Malaysia,,,,
Chai Yoon Fook,,,Malim Nawar,Perak,31700,Malaysia,,,,
Kong Yu Wai,,,Kampar,Perak,31700,Malaysia,,,,
Meow,,,Malim Nawar,Perak,31700,Malaysia,,,,
Ipoh Best Chicken,,,-,Perak,-,Malaysia,,,,
Tung Zen Trading,,,Menglembu,Perak,-,Malaysia,,,Ip0183095-u,
C.Y.Hong Trading,,,Ipoh,Perak,,Malaysia,,,,
Yau Enterprise Sdn. Bhd.,,,Petaling Jaya,Selangor,46150,Malaysia,,,93168-x,
Kai Loke Mini Market,,,Tronoh,Perak,31750,Malaysia,,,Ip0260664-d,
Weng Hup Farming,,,Chemor,Perak,31200,Malaysia,,,-,
Kiang Lum Chuong Farm,,,Ipoh,Perak,31400,Malaysia,,,-,
Ni-on Marketing System Sdn Bhd,,,"Simpang Ampat, S.p.s.",Pulau Pinang,14100,Malaysia,,,287471-h,
Sungai Buloh Livestock Farm,,,Sg. Siput,Perak,31100,Malaysia,,,-,
Weissen Company (m) Sdn. Bhd.,,,Kuala Lumpur,Kuala Lumpur,52100,Malaysia,,,75674-m,
Scc Corporation Sdn. Bhd.,,,Kuala Lumpur,Kuala Lumpur,58200,Malaysia,,,17769-t,
Liang Kee Farming Sdn Bhd,,,Kampar,Perak,31900,Malaysia,,,,
Hup Kee Livestock,,,Ipoh,Perak,30250,Malaysia,,,-,
Teh Sang Eang,,,Jeram,Perak,31850,Malaysia,,,711227-07-5711,
Premier Grain Sdn. Bhd.,,,Kuala Lumpur,Wp,50450,Malaysia,,,,
Malayan Flour Mills Bhd.,,,Jalan Ampang,Kuala Lumpur,50450,Malaysia,,,4260-m,
Ying Ngam Enterprise,,,Kampar,Perak,31900,Malaysia,,,-,
Ladang Ternakan Sungai Patani Sdn. Bhd.,,,Penang,,10400,Malaysia,,,415076-h,
Age D' Or Sdn Bhd,,,Subang Jaya,Selangor,47500,Malaysia,,,452397-p,
Biomin (malaysia) Sdn. Bhd.,,,Klang,Selangor,41300,Malaysia,,,244040 H,
B.m. Lean Huat Chan Sdn. Bhd.,2295 Jalan Alma Kg Alma," ",Bukit Mertajam,Penang,14000,Malaysia,"Tel.  Fax. ",,,"GST No.  "
Meizhi,"1618, Jalan Tengah Berapit Village"," ",Bulit Mertajam,Pulau Pinanag,14000,Malaysia,"Tel.  Fax. ",,,"GST No.  "
Wing Lee,,,Pusing,Perak,31550,Malaysia,,,-,
Anmel Agro Sdn Bhd,,,-,Kuala Lumpur,52200,Malaysia,,,716132-u,
Eppor-pack Sdn. Bhd.,"2211, Permatang Kling "," ",Nibong Tebal,Penang,14300,Malaysia,"Tel.  Fax. ",,352964-m,"GST No. 001482170368 "
Asia Veterinary Sdn Bhd,"2255, Mk14, Jalan Persekutuan Bukit Minyak "," ",Bukit Mertajam,Penang,14000,Malaysia,"Tel.  Fax. ",,69319-h,"GST No. 001196826624 "
Zagro Chemicals Sdn Bhd,"27, Jalan Pjs 3/34, Taman Sri Manja "," ",Petaling Jaya,Selangor,46000,Malaysia,"Tel.  Fax. ",,186726-w,"GST No. 001932066816 "
Gladron Chemicals Sdn. Bhd.,"1 Jalan Tp5,uep Subang Jaya "," ",Subang Jaya,Selangor,47600,Malaysia,"Tel.  Fax. ",,093253-w,"GST No. 001203912704 "
Farmtech Enterprise,"2635, Jalan Megat Harun Taman Keenways"," ",Bukit Mertajam,Penang,14000,Malaysia,"Tel.  Fax. ",,IP0097479-D,"GST No. 000071880704 "
Yikar Rubber Eastate & Farming,"230,  Golden Dragon Garden"," ",Kampar,Perak,31900,Malaysia,"Tel.  Fax. ",,000246732-W,"GST No.  "
Chan Food Enterprise,"25,  Taman Gopeng Baru"," ",Gopeng,Perak,31600,Malaysia,"Tel. 05-3591894,013-5843272 Fax. ",,IP 0046144.D,"GST No. 000823558144 "
Perkhidmatan Kargo Tumpatan Sdn. Bhd.,,,-,Melaka,75200,Malaysia,,,122317-u,
Bigg Soon (m) Sdn Bhd,,,Ipoh,Perak,30010,Malaysia,,,,
Agro Life Farming,,,Ipoh,Perak,31400,Malaysia,,,Ip0291727-t,
Leong Huat Poultry,,,Ayer Tawar,Perak,32400,Malaysia,,,-,
Tong Fung Enterprise Sdn. Bhd.,,,Ipoh,Perak,31400,Malaysia,,,,
Weng Yoon Farming,,,Ipoh,Perak,31350,Malaysia,,,-,
Joo Choon Sdn. Bhd.,,,Butterworth,Penang,13020,Malaysia,,,-,
Fortune (tronoh) Breeding Farm Sdn. Bhd.,,,Ipoh,Perak,30100,Malaysia,,,265703w,
Uni Hana Sdn Bhd,,,Subang Jaya,Selangor,47500,Malaysia,,,120774-w,
Evomix (m) Sdn. Bhd.,,,Simpang Ampat,Seberang Prai Selatan,14120,Malaysia,,,834696-u,
Swee Sim Agriculture Farming Sdn. Bhd.,,,Salak Utara,Perak,30150,Malaysia,,,Ip0062674-t,
Choo Han Jang,,,Kampar,Perak,31900,Malaysia,,,,
N.a.m Trading (ipoh) Sdn Bhd,,,Ipoh,Perak,31400,Malaysia,,,13267-x,
G.b Farming Sdn. Bhd.,,,Pantai Remis,Perak,34900,Malaysia,,,-,
Jade Tani Sdn. Bhd.,,,Sg. Siput,Perak,31100,Malaysia,,,735483-t,
Livestock Farmers Corp Sdn. Bhd.,,,"Segari, Lumut",Perak,32200,Malaysia,,,-,
Lian Hup Soon,,,Kampar,Perak,31920,Malaysia,,,-,
Cargill (malaysia) Sdn. Bhd.,,,,Kuala Lumpur,59200,Malaysia,,,41493-k,
Xin Ngiap Farming Trading,"626, Jalan 7,  Kampung Valdor"," ",Sg. Bakap,Penang,14200,Malaysia,"Tel.  Fax. ",,-,"GST No.  "
Sin Yew Lee Trading,"84,  Dataran Tasek Timur 6"," ",Ipoh,Perak,31400,Malaysia,"Tel.  Fax. ",,Ip0310083-x,"GST No.  "
Huat Soon Trading Company,"45, Jalan 11,  Taman Sri Melati,"," ",Batu Caves,Selangor,68100,Malaysia,"Tel.  Fax. ",,,"GST No.  "
Pertanian Adik-beradik Chang Sdn. Bhd.,454 Jln Ampang Baru 6 Kg. Ampang Baru," ",Ipoh,Perak,31400,Malaysia,"Tel.  Fax. ",,-,"GST No.  "
Tan Ah Pai Brothers Sdn. Bhd.,"5, Batu 14 Pantai Remis"," ",Pantai Remis,Perak,34900,Malaysia,"Tel.  Fax. ",,316936-h,"GST No.  5, BATU 14
34900 PANTAI REMIS
PERAK MALAYSIA
"
Hock Soon Poultry Farm Sdn. Bhd.,"Batu 4,  Jalan Sungkai"," ",Bidor,Perak,35500,Malaysia,"Tel.  Fax. ",,50963-m,"GST No.  "
Perniagaan Wah Sing Sdn. Bhd.,,,Rawang,Selangor,48000,Malaysia,,,-,
Fook Heng,,,Bidor,Perak,35500,Malaysia,,,-,
Sweely Farm Sdn. Bhd.,"78, Main Road Salak Utara"," ",Ipoh,Perak,31050,Malaysia,"Tel.  Fax. ",,587229-d,"GST No.  "
Master Tan Veterinary Products Sdn Bhd,,,Kota Tinggi,Jahor,81900,Malaysia,,,724365-p,
Genpharma Sdn Bhd,,,Klang,Selangor,41050,Malaysia,,,268066-w,
Tan Ah Chin Agricultural Farm S/b,,,Kampar,Perak,31900,Malaysia,,,-,
Yili Farming,"PT 852, Taman Jimah Indah,  Kampung Baru Site A,"," ",Sepang,Selangor,43900,Malaysia,"Tel.  Fax. ",,NS0015764-W,"GST No. 000610492416 "
F.e. Venture Sdn. Bhd.,"Lot 3 & 5, Jalan Pjs 11/8, Bandar Sunway "," ",Petaling Jaya,Selangor,46150,Malaysia,"Tel.  Fax. ",,194120-u,"GST No. 001746206720 "
Borneosew Medical Trading (m) Sdn Bhd,"57 Jalan Ss 18/6 Subang Jaya P.o.box 1035 "," ",Petaling Jaya,Selangor,46860,Malaysia,"Tel.  Fax. ",,125577p,"GST No. 001289904128 "
Thye Seng Trading Company,"82, Jalan Kledang Raya 11 Taman Saz"," ",Ipoh,Perak,30100,Malaysia,"Tel.  Fax. ",,IP0034383-A,"GST No. 001486897152 "
Advanced Farm Enterprise,"35,Persiaran Perindustrian Pengkalan 31, Kawasan Perindustrian Pengkalan 1,"," ",Ipoh,Perak,31500,Malaysia,"Tel.  Fax. ",,IP0140613H,"GST No. 001115398144 "
Chop Swee Heng,49 Jalan Durian Taman Kampar Jaya," ",Kampar,Perak,31900,Malaysia,"Tel.  Fax. ",,216735,"GST No. 000072368128 "
Lin Thian Pin,81  Laluan Rasi Jaya 7 Taman Rasi Jaya," ",Menglembu,Perak,31450,Malaysia,"Tel.  Fax. ",,307730,"GST No.  "
New Weng Fatt Agricultural,"7 Jalan Kampung Rawa "," ",Gopeng,Perak,31600,Malaysia,"Tel.  Fax. ",,IP0043481-W,"GST No.  "
Chop Chi Seng,"5 , Jalan Kranji "," ",Kampar,Perak,31900,Malaysia,"Tel.  Fax. ",,IP0019672-D,"GST No.  "
