name,pur_date,pur_price,descriptions,depre_start_date,residual_value,depre_method,depre_rate,asset_ac_name,cume_depre_ac_name,depre_ac_name,disp_fund_ac_name,depre_interval
Anarobic Baffled Reactor - Yr2014,2014-01-01,262906.91,,2014-01-01,0,Straight-Line,0.1,Anarobic Baffled Reactor,Anarobic Baffled Reactor,Depreciation,Anarobic Baffled Reactor,Yearly
Anarobic Baffled Reactor - Yr2017,2017-01-01,92898,,2017-01-01,1,Straight-Line,0.1,Anarobic Baffled Reactor,Anarobic Baffled Reactor,Depreciation,Anarobic Baffled Reactor,Yearly
Computer No. 1 - Yr2000,2000-01-01,8440,,2000-01-01,0,Straight-Line,0.2,Computers,Computers,Depreciation,Computers,Yearly
Computer No. 1 - Yr2007,2007-01-01,2300,,2007-01-01,0,Straight-Line,0.2,Computers,Computers,Depreciation,Computers,Yearly
Computer No. 1 - Yr2015,2015-01-01,2546.23,,2015-01-01,0,Straight-Line,0.2,Computers,Computers,Depreciation,Computers,Yearly
Computer No. 2 - Yr2000,2000-01-01,3440,,2000-01-01,0,Straight-Line,0.2,Computers,Computers,Depreciation,Computers,Yearly
Computer No. 2 - Yr2001,2001-01-01,1380,,2001-01-01,0,Straight-Line,0.2,Computers,Computers,Depreciation,Computers,Yearly
Computer No. 2 - Yr2007,2007-01-01,620,,2007-01-01,0,Straight-Line,0.2,Computers,Computers,Depreciation,Computers,Yearly
Computer No. 2 - Yr2008,2008-01-01,329,,2008-01-01,0,Straight-Line,0.2,Computers,Computers,Depreciation,Computers,Yearly
Computer No. 2 - Yr2009,2009-01-01,1680,,2009-01-01,0,Straight-Line,0.2,Computers,Computers,Depreciation,Computers,Yearly
Computer No. 2 - Yr2012,2012-01-01,879,,2012-01-01,0,Straight-Line,0.2,Computers,Computers,Depreciation,Computers,Yearly
Electrical Motor Equipment - Yr1977,1977-01-01,22206.4,,1977-01-01,0,Straight-Line,0.1,Electric Motor & Equipment,Electric Motor & Equipment,Depreciation,Electric Motor & Equipment,Yearly
Electrical Motor Equipment - Yr1978,1978-01-01,25677,,1978-01-01,0,Straight-Line,0.1,Electric Motor & Equipment,Electric Motor & Equipment,Depreciation,Electric Motor & Equipment,Yearly
Electrical Motor Equipment - Yr1980,1980-01-01,2450,,1980-01-01,0,Straight-Line,0.1,Electric Motor & Equipment,Electric Motor & Equipment,Depreciation,Electric Motor & Equipment,Yearly
Electrical Motor Equipment - Yr1983,1983-01-01,282,,1983-01-01,0,Straight-Line,0.1,Electric Motor & Equipment,Electric Motor & Equipment,Depreciation,Electric Motor & Equipment,Yearly
Electrical Motor Equipment - Yr1984,1984-01-01,437.5,,1984-01-01,0,Straight-Line,0.1,Electric Motor & Equipment,Electric Motor & Equipment,Depreciation,Electric Motor & Equipment,Yearly
Electrical Motor Equipment - Yr1993,1993-01-01,5267.5,,1993-01-01,0,Straight-Line,0.1,Electric Motor & Equipment,Electric Motor & Equipment,Depreciation,Electric Motor & Equipment,Yearly
Electrical Installation - Yr1994,1994-01-01,180804,,1994-01-01,0,Straight-Line,0.1,Electrical Installation,Electrical Installation,Depreciation,Electrical Installation,Yearly
Electrical Installation - Yr1995,1995-01-01,30643,,1995-01-01,0,Straight-Line,0.1,Electrical Installation,Electrical Installation,Depreciation,Electrical Installation,Yearly
Electrical Installation - Yr1996,1996-01-01,31564,,1996-01-01,0,Straight-Line,0.1,Electrical Installation,Electrical Installation,Depreciation,Electrical Installation,Yearly
